name,symbol,exchange
CAMS,CAMS.NS,NSE
CANBK,CANBK.NS,NSE
CANFINHOME,CANFINHOME.NS,NSE
CANTABIL,CANTABIL.NS,NSE
CAPACITE,CAPACITE.NS,NSE
CAPITALSFB,CAPITALSFB.NS,NSE
CAPLIPOINT,CAPLIPOINT.NS,NSE
CAPTRUST,CAPTRUST.NS,NSE
CARBORUNIV,CARBORUNIV.NS,NSE
CARERATING,CARERATING.NS,NSE
CARRARO,CARRARO.NS,NSE
CARTRADE,CARTRADE.NS,NSE
CARYSIL,CARYSIL.NS,NSE
CASTROLIND,CASTROLIND.NS,NSE
CCCL,CCCL.NS,NSE
CCHHL,CCHHL.NS,NSE
CCL,CCL.NS,NSE
CDSL,CDSL.NS,NSE
CEATLTD,CEATLTD.NS,NSE
CEIGALL,CEIGALL.NS,NSE
CELEBRITY,CELEBRITY.NS,NSE
CELLO,CELLO.NS,NSE
CENTENKA,CENTENKA.NS,NSE
CENTEXT,CENTEXT.NS,NSE
CENTRALBK,CENTRALBK.NS,NSE
CENTRUM,CENTRUM.NS,NSE
CENTUM,CENTUM.NS,NSE
CENTURYPLY,CENTURYPLY.NS,NSE
CERA,CERA.NS,NSE
CEREBRAINT,CEREBRAINT.NS,NSE
CESC,CESC.NS,NSE
CEWATER,CEWATER.NS,NSE
CGCL,CGCL.NS,NSE
CGPOWER,CGPOWER.NS,NSE
CHALET,CHALET.NS,NSE
CHAMBLFERT,CHAMBLFERT.NS,NSE
CHEMBOND,CHEMBOND.NS,NSE
CHEMBONDCH,CHEMBONDCH.NS,NSE
CHEMCON,CHEMCON.NS,NSE
CHEMFAB,CHEMFAB.NS,NSE
CHEMPLASTS,CHEMPLASTS.NS,NSE
CHENNPETRO,CHENNPETRO.NS,NSE
CHEVIOT,CHEVIOT.NS,NSE
CHOICEIN,CHOICEIN.NS,NSE
CHOLAFIN,CHOLAFIN.NS,NSE
CHOLAHLDNG,CHOLAHLDNG.NS,NSE
CIEINDIA,CIEINDIA.NS,NSE
CIFL,CIFL.NS,NSE
CIGNITITEC,CIGNITITEC.NS,NSE
CINELINE,CINELINE.NS,NSE
CINEVISTA,CINEVISTA.NS,NSE
CIPLA,CIPLA.NS,NSE
CLEAN,CLEAN.NS,NSE
CLEDUCATE,CLEDUCATE.NS,NSE
CLSEL,CLSEL.NS,NSE
CMSINFO,CMSINFO.NS,NSE
COALINDIA,COALINDIA.NS,NSE
COASTCORP,COASTCORP.NS,NSE
COCHINSHIP,COCHINSHIP.NS,NSE
COFFEEDAY,COFFEEDAY.NS,NSE
COFORGE,COFORGE.NS,NSE
COHANCE,COHANCE.NS,NSE
COLPAL,COLPAL.NS,NSE
COMPUSOFT,COMPUSOFT.NS,NSE
COMSYN,COMSYN.NS,NSE
CONCOR,CONCOR.NS,NSE
CONCORDBIO,CONCORDBIO.NS,NSE
CONFIPET,CONFIPET.NS,NSE
CONSOFINVT,CONSOFINVT.NS,NSE
CONTROLPR,CONTROLPR.NS,NSE
CORALFINAC,CORALFINAC.NS,NSE
CORDSCABLE,CORDSCABLE.NS,NSE
COROMANDEL,COROMANDEL.NS,NSE
COSMOFIRST,COSMOFIRST.NS,NSE
COUNCODOS,COUNCODOS.NS,NSE
CPCAP,CPCAP.NS,NSE
CPPLUS,CPPLUS.NS,NSE
CRAFTSMAN,CRAFTSMAN.NS,NSE
CREATIVE,CREATIVE.NS,NSE
CREATIVEYE,CREATIVEYE.NS,NSE
CREDITACC,CREDITACC.NS,NSE
CREST,CREST.NS,NSE
CRISIL,CRISIL.NS,NSE
CRIZAC,CRIZAC.NS,NSE
CROMPTON,CROMPTON.NS,NSE
CROWN,CROWN.NS,NSE
CSBBANK,CSBBANK.NS,NSE
CSLFINANCE,CSLFINANCE.NS,NSE
CTE,CTE.NS,NSE
CUB,CUB.NS,NSE
CUBEXTUB,CUBEXTUB.NS,NSE
CUMMINSIND,CUMMINSIND.NS,NSE
CUPID,CUPID.NS,NSE
CURAA,CURAA.NS,NSE
CYBER-RE,CYBER-RE.NS,NSE
CYBERMEDIA,CYBERMEDIA.NS,NSE
CYBERTECH,CYBERTECH.NS,NSE
CYIENT,CYIENT.NS,NSE
CYIENTDLM,CYIENTDLM.NS,NSE
DABUR,DABUR.NS,NSE
DALBHARAT,DALBHARAT.NS,NSE
DALMIASUG,DALMIASUG.NS,NSE
DAMCAPITAL,DAMCAPITAL.NS,NSE
DAMODARIND,DAMODARIND.NS,NSE
DANGEE,DANGEE.NS,NSE
DATAMATICS,DATAMATICS.NS,NSE
DATAPATTNS,DATAPATTNS.NS,NSE
DAVAN-RE1,DAVAN-RE1.NS,NSE
DAVANGERE,DAVANGERE.NS,NSE
DBCORP,DBCORP.NS,NSE
DBEIL,DBEIL.NS,NSE
DBL,DBL.NS,NSE
DBOL,DBOL.NS,NSE
DBREALTY,DBREALTY.NS,NSE
DBSTOCKBRO,DBSTOCKBRO.NS,NSE
DCAL,DCAL.NS,NSE
DCBBANK,DCBBANK.NS,NSE
DCI,DCI.NS,NSE
DCM,DCM.NS,NSE
DCMFINSERV,DCMFINSERV.NS,NSE
DCMNVL,DCMNVL.NS,NSE
DCMSHRIRAM,DCMSHRIRAM.NS,NSE
DCMSRIND,DCMSRIND.NS,NSE
DCW,DCW.NS,NSE
DCXINDIA,DCXINDIA.NS,NSE
DDEVPLSTIK,DDEVPLSTIK.NS,NSE
DECCANCE,DECCANCE.NS,NSE
DEEDEV,DEEDEV.NS,NSE
DEEPAKFERT,DEEPAKFERT.NS,NSE
DEEPAKNTR,DEEPAKNTR.NS,NSE
DEEPINDS,DEEPINDS.NS,NSE
DELHIVERY,DELHIVERY.NS,NSE
DELPHIFX,DELPHIFX.NS,NSE
DELTACORP,DELTACORP.NS,NSE
DELTAMAGNT,DELTAMAGNT.NS,NSE
DEN,DEN.NS,NSE
DENORA,DENORA.NS,NSE
DENTA,DENTA.NS,NSE
DEVIT,DEVIT.NS,NSE
DEVYANI,DEVYANI.NS,NSE
DGCONTENT,DGCONTENT.NS,NSE
DHAMPURSUG,DHAMPURSUG.NS,NSE
DHANBANK,DHANBANK.NS,NSE
DHANI,DHANI.NS,NSE
DHANUKA,DHANUKA.NS,NSE
DHARAN,DHARAN.NS,NSE
DHARMAJ,DHARMAJ.NS,NSE
DHRUV,DHRUV.NS,NSE
DHUNINV,DHUNINV.NS,NSE
DIACABS,DIACABS.NS,NSE
DIAMINESQ,DIAMINESQ.NS,NSE
DIAMONDYD,DIAMONDYD.NS,NSE
DICIND,DICIND.NS,NSE
DIFFNKG,DIFFNKG.NS,NSE
DIGIDRIVE,DIGIDRIVE.NS,NSE
DIGISPICE,DIGISPICE.NS,NSE
DIGITIDE,DIGITIDE.NS,NSE
DIGJAMLMTD,DIGJAMLMTD.NS,NSE
DIL,DIL.NS,NSE
DISHTV,DISHTV.NS,NSE
